,id,tweet,label,new_label,clean_text
24,25,New York continues to have the highest positive tests per capita an indication of both the intensity of testing there and the severity of the outbreak. Here’s the top 10: New York Washington New Jersey Louisiana DC Michigan Illinois Vermont Colorado Rhode Island,real,0,new york continues to have the highest positive tests per capita an indication of both the intensity of testing there and the severity of the outbreak heres the top 10 new york washington new jersey louisiana dc michigan illinois vermont colorado rhode island
25,26,The government's chief scientific adviser warned that the UK could soon see 49000 new cases of #coronavirus every day unless action is taken. Sky's @EdConwaySky takes a look at the data and suggests the real number could be lower. Latest: https://t.co/kORpcHXQIJ https://t.co/TdNeKOAlCq,real,0,the governments chief scientific adviser warned that the uk could soon see 49000 new cases of coronavirus every day unless action is taken skys edconwaysky takes a look at the data and suggests the real number could be lower latest
26,27,Brazil's health minister says cases with no confirmation of COVID-19 won't be considered on death toll.,fake,1,brazils health minister says cases with no confirmation of covid19 wont be considered on death toll
27,28,"Govt has added #Corona disease in all existing mediclaim insurances as a special case

#COVID2019India https://t.co/39vpW7tBqq",fake,1,govt has added corona disease in all existing mediclaim insurances as a special case covid2019india
28,29,She has been in managed Isolation at the Distinction Hotel in Hamilton and tested positive around day 3 of her stay. ​ We have 13 new confirmed cases in Auckland. They are all linked to the 4 people who we reported as cases yesterday and the day before.,real,0,she has been in managed isolation at the distinction hotel in hamilton and tested positive around day 3 of her stay we have 13 new confirmed cases in auckland they are all linked to the 4 people who we reported as cases yesterday and the day before
29,30,"The Gates Foundation ""has the patent for this coronavirus.""",fake,1,the gates foundation has the patent for this coronavirus
30,31,Nashville Man Thinks World Is Upside-Down but Respects that World Doesn't Care What He Thinks https://t.co/xAw4YLwLsl #coronavirus,fake,1,nashville man thinks world is upsidedown but respects that world doesnt care what he thinks coronavirus
31,32,"14 China Muslims hidden at Bihari mosque has been taken to corona virus test by Bihari police. Erode police has caught Thailand Muslim mullahs infected with corona virus. Today Salem Police has caught 11 Indonesian Muslim mullahs at Salem mosque. This video shows that they are applying and putting saliva on spoons, plates and utensils and also they are in the intention of spreading corona virus disease. Nobody knows what's happening in the Nation",fake,1,14 china muslims hidden at bihari mosque has been taken to corona virus test by bihari police erode police has caught thailand muslim mullahs infected with corona virus today salem police has caught 11 indonesian muslim mullahs at salem mosque this video shows that they are applying and putting saliva on spoons plates and utensils and also they are in the intention of spreading corona virus disease nobody knows whats happening in the nation
32,33,There are also clear *demand* constraints as testing criteria remain quite strict. We are still getting reports from all over of people who have been able unable to get tested despite having a good reason to do so.,real,0,there are also clear demand constraints as testing criteria remain quite strict we are still getting reports from all over of people who have been able unable to get tested despite having a good reason to do so
33,34,Coronavirus found in gutkha or chewing tobacco samples sold in Indian state of Maharashtra as raw material sourced from China.,fake,1,coronavirus found in gutkha or chewing tobacco samples sold in indian state of maharashtra as raw material sourced from china
34,35,Clinical senior lecturer at King's College London Dr Claire Steves says 'two symptoms of #COVID19 that are not on the core list are headaches and fatigue' and discusses what symptoms warrant a test for #coronavirus 👇 Latest: https://t.co/gpqYW8xYoB https://t.co/nmvIiVwZ3P,real,0,clinical senior lecturer at kings college london dr claire steves says two symptoms of covid19 that are not on the core list are headaches and fatigue and discusses what symptoms warrant a test for coronavirus latest
35,36,@FriedrichHayek @NateSilver538 Not meaningless but also before this epidemic pneumonia deaths were considered a very unstable number... so keep that in mind. -@alexismadrigal,real,0,friedrichhayek natesilver538 not meaningless but also before this epidemic pneumonia deaths were considered a very unstable number so keep that in mind alexismadrigal
36,37,@LimaEleanor Kia ora Elanor there are currently 21 active cases in New Zealand they were all caught at the border and we have no evidence of community transmission.,real,0,limaeleanor kia ora elanor there are currently 21 active cases in new zealand they were all caught at the border and we have no evidence of community transmission
37,38,Update from the @minhealthnz ​Today there are 3 new cases of COVID-19 to report in managed isolation and quarantine facilities in NZ. There continue to be no new cases in the community.​ Our total number of active cases is 21 - all of which remain in quarantine facilities.,real,0,update from the minhealthnz today there are 3 new cases of covid19 to report in managed isolation and quarantine facilities in nz there continue to be no new cases in the community our total number of active cases is 21 all of which remain in quarantine facilities
38,39,The new coronavirus does not settle in the air but is grounded so it is not transmitted by air.,fake,1,the new coronavirus does not settle in the air but is grounded so it is not transmitted by air
39,40,If you have signs of a heart attack or stroke while staying at home during #COVID19 call 9-1-1 right away. Emergency responders and emergency departments have plans in place to help protect you from COVID-19. Learn more: https://t.co/4i0e7Cw3m1. https://t.co/ZqLIrVCHXI,real,0,if you have signs of a heart attack or stroke while staying at home during covid19 call 911 right away emergency responders and emergency departments have plans in place to help protect you from covid19 learn more
40,41,The Access to #COVID19 Tools (ACT) Accelerator brings together governments health organizations scientists businesses civil society &amp; philanthropists to speed up an end to the pandemic. 👉https://t.co/fXHNTOsLVR https://t.co/kTXtFlm2jU,real,0,the access to covid19 tools act accelerator brings together governments health organizations scientists businesses civil society amp philanthropists to speed up an end to the pandemic
41,42,Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.,fake,1,says the cdc now says that the coronavirus can survive on surfaces for up to 17 days
42,43,"The Chinese government announced that ""garlic is a preventative food for the the novel coronavirus.""",fake,1,the chinese government announced that garlic is a preventative food for the the novel coronavirus
43,44,Flood Hit Areas Pretend To Have Coronavirus In Bid To Get Government's Attention https://t.co/NKpkH0cY0Z,fake,1,flood hit areas pretend to have coronavirus in bid to get governments attention
44,45,"@Dianes_Bucket @arkless_kevin @ReeeeSpectWalk @ftwrharry @wolfiecindy 'Spanish Flu' was propaganda to cover up the millions of soldiers who died from military vaccines, WWI war trauma, radiation effects and hysteria (lots of Aspirin overdose by people who thought it would protect them).",fake,1,dianesbucket arklesskevin reeeespectwalk ftwrharry wolfiecindy spanish flu was propaganda to cover up the millions of soldiers who died from military vaccines wwi war trauma radiation effects and hysteria lots of aspirin overdose by people who thought it would protect them
45,46,"🤝 As business continue to adapt their services in the wake of covid-19, the SWA Hand Sanitiser Portal is available for sourcing #handsanitiser and ethanol for producing sanitiser.

🖊️ Complete your details and find suppliers here: https://t.co/b7uLQbfQLz https://t.co/5qJQ5h8w6l",fake,1,as business continue to adapt their services in the wake of covid19 the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your details and find suppliers here
46,47,FREE CE: Watch the new #CDCGrandRounds on Acute Flaccid Myelitis (AFM). Listen to our new #BeyondtheData podcast as CDC’s Dr. John Iskander and Dr. Janell Routh discuss AFM its symptoms and treatment options. https://t.co/uD0xXEe4PR https://t.co/VtcvnAanq7,real,0,free ce watch the new cdcgrandrounds on acute flaccid myelitis afm listen to our new beyondthedata podcast as cdcs dr john iskander and dr janell routh discuss afm its symptoms and treatment options
47,48,"Hydroxychloroquine. The virus cure.

How fast does this pandemic end if you could start feeling better in as soon as 5 hours?",fake,1,hydroxychloroquine the virus cure how fast does this pandemic end if you could start feeling better in as soon as 5 hours
48,49,"SUBHAN ALLAH: AFTER CORONA VIRUS CHINA GOVT LIFTED BAN ON HOLY QURAN & ALLOWED CHINESE MUSLIMS TO READ THEIR SACRED BOOK! ""SO WHICH OF THE FAVORS OF YOUR LORD WOULD YOU DENY?""",fake,1,subhan allah after corona virus china govt lifted ban on holy quran allowed chinese muslims to read their sacred book so which of the favors of your lord would you deny
49,50,Our daily update is published. States reported 671k tests 40k cases and 1202 COVID-19 deaths. Note: we've added 7-day averages to the nationwide overview. https://t.co/BQP32jcUi1,real,0,our daily update is published states reported 671k tests 40k cases and 1202 covid19 deaths note weve added 7day averages to the nationwide overview
50,51,A video claiming bodies packed in body bags are being dumped in mass graves in Italy and Spain.,fake,1,a video claiming bodies packed in body bags are being dumped in mass graves in italy and spain
51,52,Indian Army has built a 1000-bed hospital in Rajasthan in eight days for the treatment of COVID-19.,fake,1,indian army has built a 1000bed hospital in rajasthan in eight days for the treatment of covid19
52,53,There has been a pandemic every 100 years,fake,1,there has been a pandemic every 100 years
53,54,???Florida hospital reports a coronavirus ???infestation??? with multiple confirmed patients.??�,fake,1,florida hospital reports a coronavirus infestation with multiple confirmed patients
54,55,Muslim Doctor died while treating people infected with coronavirus in Delhi,fake,1,muslim doctor died while treating people infected with coronavirus in delhi
55,56,"As tuberculosis shaped modernism, so COVID-19 and our collective experience of staying inside for months on end will influence architecture’s near future, @chaykak writes. https://t.co/ag34yZckbU",fake,1,as tuberculosis shaped modernism so covid19 and our collective experience of staying inside for months on end will influence architectures near future chaykak writes
56,57,On the 15/03 NCDC directly contacted a Twitter user who mentioned his friend who returned from UK had runny nose but could not reach authorities for testing. Within 12 hours of communication with us via DM a sample was collected. We’re committed to doing our best https://t.co/fccdGij3uG,real,0,on the 1503 ncdc directly contacted a twitter user who mentioned his friend who returned from uk had runny nose but could not reach authorities for testing within 12 hours of communication with us via dm a sample was collected were committed to doing our best
57,58,A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India's Intermediate Zoology book.,fake,1,a whatsapp forward has gone viral which claimed that a vaccine for coronavirus has been discovered the viral forward also claims that the treatment for coronavirus is mentioned in indias intermediate zoology book
58,59,RT @DrTedros: A #COVID19 vaccine will be a precious resource. Unless we have an international plan to manage it fairly there will be unnec…,real,0,rt drtedros a covid19 vaccine will be a precious resource unless we have an international plan to manage it fairly there will be unnec
59,60,Our daily update is published. States reported 647k tests 38k cases and 406 deaths. The number of cases reported is the lowest since June 23. https://t.co/omv9ZtWDoR,real,0,our daily update is published states reported 647k tests 38k cases and 406 deaths the number of cases reported is the lowest since june 23
60,61,Several social media users claimed that there was a massive crowd at Bangalore’s KR Market on the occasion of Varamahalaxmi flouting social distancing norms. This claim is misleading. A 2019 video is being passed off as a recent one. #COVID19 #Bangalore https://t.co/my7CtZKGD5,fake,1,several social media users claimed that there was a massive crowd at bangalores kr market on the occasion of varamahalaxmi flouting social distancing norms this claim is misleading a 2019 video is being passed off as a recent one covid19 bangalore
61,62,This rise in deaths is concentrated in states with large outbreaks. Texas California and Florida all reported their single highest day of deaths for the entire pandemic today.,real,0,this rise in deaths is concentrated in states with large outbreaks texas california and florida all reported their single highest day of deaths for the entire pandemic today
62,63,"""Sanitizer will do nothing for the coronavirus.""",fake,1,sanitizer will do nothing for the coronavirus
63,64,Three docs have been getting attention for their letters to BMJ urging more attention for mild yet very long term forms of COVID-19. https://t.co/pEeJn2XOSg,real,0,three docs have been getting attention for their letters to bmj urging more attention for mild yet very long term forms of covid19
64,65,The coronavirus is only as dangerous as a flu the diseases have the same death rate air pollution and bad hygienic conditions in Italian hospitals (hospital germs) are responsible for the many death cases and only 5% of the whole population is endangered by COVID-19.,fake,1,the coronavirus is only as dangerous as a flu the diseases have the same death rate air pollution and bad hygienic conditions in italian hospitals hospital germs are responsible for the many death cases and only 5 of the whole population is endangered by covid19
65,66,NEWS! Lockdown has now lasted so long children could have put their shoes on twice https://t.co/AeE1bpQphG https://t.co/zlMPEyqG0J,fake,1,news lockdown has now lasted so long children could have put their shoes on twice
66,67,One hundred days after the 1st #COVID19 case was recorded in Nigeria the NCDC National Reference Laboratory has supported 29 more laboratories to develop capacity for #COVID19 testing Watch this report by @NTANewsNow on the lab including reflections by the @PTFCOVID19 Chair https://t.co/hPI3rLO1co,real,0,one hundred days after the 1st covid19 case was recorded in nigeria the ncdc national reference laboratory has supported 29 more laboratories to develop capacity for covid19 testing watch this report by ntanewsnow on the lab including reflections by the ptfcovid19 chair
67,68,Quotes Joe Biden as saying “people who have never died before are now dying from coronavirus.”,fake,1,quotes joe biden as saying people who have never died before are now dying from coronavirus
68,69,The total number of confirmed cases of COVID-19 is now 1200 which is the number we report to the World Health Organization.​ ​ There is no one in New Zealand receiving hospital-level care for COVID-19.,real,0,the total number of confirmed cases of covid19 is now 1200 which is the number we report to the world health organization there is no one in new zealand receiving hospitallevel care for covid19
69,70,CORRECTION 1/4 On 3rd of April 2020 we reported 26 new cases of #COVID19 in Nigeria. An error has been discovered in this report as follows: ⚫️ There were 25 new cases of #COVID19 in Nigeria. The 26th case was a repeat result of a previously confirmed case and NOT a new case https://t.co/oq2FA6zvpY,real,0,correction 14 on 3rd of april 2020 we reported 26 new cases of covid19 in nigeria an error has been discovered in this report as follows there were 25 new cases of covid19 in nigeria the 26th case was a repeat result of a previously confirmed case and not a new case
70,71,681 new cases of #COVID19; Lagos-345 Rivers-51 Ogun-48 Gombe-47 Oyo-36 Imo-31 Delta-28 Kano-23 Bauchi-18 Edo-12 Katsina-12 Kaduna-9 Anambra-7 Jigawa-5 Kebbi-4 Ondo-4 Nasarawa-1 Total of: 14554 cases of #COVID19Nigeria 4494 discharged 387 deaths #TakeResponsibility https://t.co/VAMND4EM4J,real,0,681 new cases of covid19 lagos345 rivers51 ogun48 gombe47 oyo36 imo31 delta28 kano23 bauchi18 edo12 katsina12 kaduna9 anambra7 jigawa5 kebbi4 ondo4 nasarawa1 total of 14554 cases of covid19nigeria 4494 discharged 387 deaths takeresponsibility
71,72,"Approval from Ayush Ministey. Time for particular lobby to buy bournol

😷😷😷😷😷😷",fake,1,approval from ayush ministey time for particular lobby to buy bournol
72,73,Facebook post that compares deaths in Italy during coronavirus pandemie with deaths during seasonal flu outbursts from 2014 to 2017. The post says that during 2014 seasonal flu outburst 375 000 people died in Italy and it was the real problem and coronavirus deaths compared to this aren't serious.,fake,1,facebook post that compares deaths in italy during coronavirus pandemie with deaths during seasonal flu outbursts from 2014 to 2017 the post says that during 2014 seasonal flu outburst 375 000 people died in italy and it was the real problem and coronavirus deaths compared to this arent serious
73,74,#IndiaFightsCorona: @MoHFW_INDIA urges States/UTs to mandatorily retest all symptomatic negative cases of rapid antigen tests through RT-PCR States/UTs to ensure that no positive cases are missed to curb the spread of infection Details : https://t.co/0wwEmA6Trm #StaySafe https://t.co/BquM1JSsaY,real,0,indiafightscorona mohfwindia urges statesuts to mandatorily retest all symptomatic negative cases of rapid antigen tests through rtpcr statesuts to ensure that no positive cases are missed to curb the spread of infection details staysafe
74,75,#IndiaFightsCorona #COVID19 Recoveries exceed active cases by more than 2.1 million. There has been more than 4 times jump in the average weekly recoveries from the first week of July to last week of August. https://t.co/HRyyaWhdJR,real,0,indiafightscorona covid19 recoveries exceed active cases by more than 21 million there has been more than 4 times jump in the average weekly recoveries from the first week of july to last week of august
75,76,#COVID19 spreads mainly among people who are in close contact with one another (less than 6 ft). Wear a mask in public &amp; when around people not living in your household especially when social distancing is difficult to maintain. https://t.co/jkWwZTxyhs #WearAMask #WorldMaskWeek https://t.co/rzVjZ4sVuE,real,0,covid19 spreads mainly among people who are in close contact with one another less than 6 ft wear a mask in public amp when around people not living in your household especially when social distancing is difficult to maintain wearamask worldmaskweek
76,77,As of today 18% of all the samples tested for #COVID19 have been positive. Currently 15288 beds (#Isolation #ICU and #Ventilator supported) are vacant in #Telangana. #COVID__19 #Covid_19 #COVIDー19 #COVID #CoronaUpdates #CoronaVirusUpdates #CoronavirusPandemic #Coronavirus https://t.co/hVFAOBoEKO,real,0,as of today 18 of all the samples tested for covid19 have been positive currently 15288 beds isolation icu and ventilator supported are vacant in telangana covid19 covid19 covid19 covid coronaupdates coronavirusupdates coronaviruspandemic coronavirus
77,78,NCDC is committed to strengthening #COVID19 response in all states in Nigeria Our rapid response team in Kaduna State is supporting through activities including ✅Sample collection at quarantine centers ✅Assessment of an additional isolation centre ✅Training of health workers https://t.co/mYZ3twrTzo,real,0,ncdc is committed to strengthening covid19 response in all states in nigeria our rapid response team in kaduna state is supporting through activities including sample collection at quarantine centers assessment of an additional isolation centre training of health workers
78,79,"Tablik Jamaat Chief Maulana Saad: ""If 70000 people get coronavirus India will be destroyed. The country will be in our possession.""",fake,1,tablik jamaat chief maulana saad if 70000 people get coronavirus india will be destroyed the country will be in our possession
79,80,Hand dryers are not effective in killing coronavirus. #WhatsAppForwards are not always true; they can be misleading false or satire. Don't believe everything you see. Verify before sharing and become a #Newschecker and make #MainBhiNewschecker your signature. https://t.co/YB5ed7exEV,fake,1,hand dryers are not effective in killing coronavirus whatsappforwards are not always true they can be misleading false or satire dont believe everything you see verify before sharing and become a newschecker and make mainbhinewschecker your signature
80,81,As Florida's outbreak surges there have been a lot of questions about the state's data. Here's a very deep dive by @olivierlacan and @NotoriousRSG into what we know what's wrong and what's missing. https://t.co/saqsqrRlZu https://t.co/gbfLivkiER,real,0,as floridas outbreak surges there have been a lot of questions about the states data heres a very deep dive by olivierlacan and notoriousrsg into what we know whats wrong and whats missing
81,82,Maine governor mandates dog cone wearing for restaurant staff instead of mask https://t.co/PN9bWrK3gP #coronavirus #josephbiden,fake,1,maine governor mandates dog cone wearing for restaurant staff instead of mask coronavirus josephbiden
82,83,Your household plan for #COVID19 should include 1) talking with the people who need to be included in your plan &amp; 2) planning ways to care for those who might be at greater risk for serious complications. Learn more: https://t.co/isBYfXNv5A.,real,0,your household plan for covid19 should include 1 talking with the people who need to be included in your plan amp 2 planning ways to care for those who might be at greater risk for serious complications learn more
83,84,#IndiaFightsCorona: India registers a record of highest single day recoveries  More than 1 lakh patients recovered in the last 24 hours #StaySafe #IndiaWillWin https://t.co/QIHLyf4uyp,real,0,indiafightscorona india registers a record of highest single day recoveries more than 1 lakh patients recovered in the last 24 hours staysafe indiawillwin
84,85,As at 08:00 pm 31st March there are 139 confirmed cases 9 discharged 2 deaths For a breakdown of cases by states in real time visit https://t.co/zQrpNeOfet Currently; Lagos- 82 FCT- 28 Oyo- 8 Osun- 5 Ogun- 4 Kaduna- 3 Enugu- 2 Edo- 2 Bauchi- 2 Ekoti- 1 Rivers-1 Benue- 1,real,0,as at 0800 pm 31st march there are 139 confirmed cases 9 discharged 2 deaths for a breakdown of cases by states in real time visit currently lagos 82 fct 28 oyo 8 osun 5 ogun 4 kaduna 3 enugu 2 edo 2 bauchi 2 ekoti 1 rivers1 benue 1
85,86,Photo shows the last meeting of a Turkish doctor who died due to COVID-19 with his child in Munich.,fake,1,photo shows the last meeting of a turkish doctor who died due to covid19 with his child in munich
86,87,One state situation worth highlighting is Michigan. Large numbers of positives deaths rising and an uncertain testing situation. Very worrisome overall. https://t.co/f7vdf5Vevk,real,0,one state situation worth highlighting is michigan large numbers of positives deaths rising and an uncertain testing situation very worrisome overall
87,88,Only aggressive action combined with national unity and global solidarity can turn the #COVID19 pandemic around-@DrTedros,real,0,only aggressive action combined with national unity and global solidarity can turn the covid19 pandemic arounddrtedros
88,89,Visit https://t.co/DYojLfjhyd to stay up-to-date on the latest COVID data for your state or county. Our warning system focuses on 4 key metrics: Infection Rate Positive Test Rate ICU Headroom Used Contact Traced Data updates every 3 days so be sure to check back regularly.,real,0,visit to stay uptodate on the latest covid data for your state or county our warning system focuses on 4 key metrics infection rate positive test rate icu headroom used contact traced data updates every 3 days so be sure to check back regularly
89,90,18 states including US UK and Australia request PM Modi to head a task force to stop coronavirus.,fake,1,18 states including us uk and australia request pm modi to head a task force to stop coronavirus
90,91,Yesterday our laboratories completed 2191 tests. That brings the total number of tests completed to date to 446367.​⁣,real,0,yesterday our laboratories completed 2191 tests that brings the total number of tests completed to date to 446367
91,92,We fact-checked a range of statements from the second night of #DNC2020. Here are highlights dealing with coronavirus case numbers and the #TrumpAdministration’s position on the #ACA. https://t.co/bKhYJteUmf,fake,1,we factchecked a range of statements from the second night of dnc2020 here are highlights dealing with coronavirus case numbers and the trumpadministrations position on the aca
92,93,White House launches Trump-branded coronavirus medicine.,fake,1,white house launches trumpbranded coronavirus medicine
93,94,Video of Tabligi pilgrims who were moving via trucks to spread COVID-19 in India.,fake,1,video of tabligi pilgrims who were moving via trucks to spread covid19 in india
94,95,Cold weather will kill coronavirus. No wait. Hot weather will kill corona. Did you also fall for these contradictory hoaxes? Don't fall the fake news &amp; misinformation. Participate in our #MainBhiNewschecker initiative &amp; we will fight the infodemic together. #CoronavirusFacts https://t.co/6vi1gzKVsA,fake,1,cold weather will kill coronavirus no wait hot weather will kill corona did you also fall for these contradictory hoaxes dont fall the fake news amp misinformation participate in our mainbhinewschecker initiative amp we will fight the infodemic together coronavirusfacts
95,96,A two-stent approach to complex coronary bifurcation lesions yielded improved clinical outcomes. https://t.co/lpVPeVcseW,real,0,a twostent approach to complex coronary bifurcation lesions yielded improved clinical outcomes
96,97,Beware Of A Donald Trump Vaccine https://t.co/RkjO91lleP #jaredkushner #billbarr,fake,1,beware of a donald trump vaccine jaredkushner billbarr
97,98,Solidarity is needed to provide a joint solution to the #COVID19 pandemic. The COVAX 🌍 Vaccines Facility is the critical mechanism for joint procurement &amp; pooling risk across multiple vaccines which is why I sent a 📩 to every Member State encouraging them to join-@DrTedros,real,0,solidarity is needed to provide a joint solution to the covid19 pandemic the covax vaccines facility is the critical mechanism for joint procurement amp pooling risk across multiple vaccines which is why i sent a to every member state encouraging them to joindrtedros
98,99,#IndiaFightsCorona India has reported the highest number of total #COVID19 recoveries with more than 42 lakh. https://t.co/Cfll8d12X4,real,0,indiafightscorona india has reported the highest number of total covid19 recoveries with more than 42 lakh
99,100,#CoronaVirusUpdates: #COVID19 testing status update: @ICMRDELHI stated that 59429115 samples tested upto September 15 2020 1116842 sample tested on September 15 2020 #StaySafe #IndiaWillWin https://t.co/7NF57ELbUY,real,0,coronavirusupdates covid19 testing status update icmrdelhi stated that 59429115 samples tested upto september 15 2020 1116842 sample tested on september 15 2020 staysafe indiawillwin
100,101,RT @mygovindia: India crosses 1 Million landmark of COVID-19 tests in 24 hours. #IndiaFightsCorona https://t.co/VwhwhCBNKA,real,0,rt mygovindia india crosses 1 million landmark of covid19 tests in 24 hours indiafightscorona
